Task ID,Description,Category,Assigned To,Status,Priority,Created Date,Due Date
TASK-001,Set up CI/CD pipeline,Testing,Charlie,In Progress,Low,2025-05-23,2025-05-30
TASK-002,Write unit tests for API,Design,Alice,Done,Low,2025-05-28,2025-06-11
TASK-003,Create wireframes for new module,Development,Bob,Done,Low,2025-05-09,2025-05-15
TASK-004,Write unit tests for API,Testing,Alice,Done,Medium,2025-05-20,2025-05-31
TASK-005,Set up CI/CD pipeline,Documentation,Charlie,Done,Low,2025-05-31,2025-06-09
TASK-006,Analyze user feedback,Design,David,Done,Low,2025-05-12,2025-05-19
TASK-007,Analyze user feedback,Design,David,In Progress,Low,2025-05-17,2025-06-01
TASK-008,Fix login bug,Documentation,Bob,In Progress,Low,2025-05-10,2025-05-22
TASK-009,Update user manual,Design,Alice,In Progress,Low,2025-06-02,2025-06-15
TASK-010,Review PR #45,Testing,David,In Progress,Low,2025-06-04,2025-06-09
TASK-011,Review PR #45,Documentation,Alice,To Do,High,2025-05-10,2025-05-21
TASK-012,Implement OAuth2 authentication,Development,Charlie,Done,Low,2025-05-15,2025-05-26
TASK-013,Write unit tests for API,Testing,David,To Do,High,2025-06-04,2025-06-08
TASK-014,Refactor old modules,Documentation,Alice,Done,Medium,2025-05-17,2025-05-29
TASK-015,Analyze user feedback,Design,Bob,Done,Low,2025-06-03,2025-06-07
TASK-016,Write unit tests for API,Documentation,Bob,In Progress,Low,2025-06-07,2025-06-19
TASK-017,Review PR #45,Testing,Alice,To Do,Medium,2025-06-06,2025-06-11
TASK-018,Fix login bug,Testing,Alice,To Do,Medium,2025-05-23,2025-05-24
TASK-019,Write unit tests for API,Development,Charlie,Done,Low,2025-05-25,2025-06-01
TASK-020,Review PR #45,Design,David,To Do,High,2025-05-14,2025-05-25
TASK-021,Design the new dashboard,Testing,Charlie,In Progress,High,2025-06-04,2025-06-09
TASK-022,Write unit tests for API,Development,Charlie,In Progress,Medium,2025-05-14,2025-05-21
TASK-023,Set up CI/CD pipeline,Design,Bob,Done,High,2025-05-22,2025-05-31
TASK-024,Write unit tests for API,Development,Alice,Done,Medium,2025-06-06,2025-06-15
TASK-025,Write unit tests for API,Development,David,Done,Low,2025-05-27,2025-06-02
TASK-026,Review PR #45,Testing,Bob,In Progress,Medium,2025-05-13,2025-05-15
TASK-027,Review PR #45,Development,Alice,In Progress,Low,2025-05-14,2025-05-21
TASK-028,Review PR #45,Testing,Charlie,In Progress,Low,2025-06-01,2025-06-02
TASK-029,Design the new dashboard,Development,Alice,To Do,High,2025-05-15,2025-05-18
TASK-030,Write unit tests for API,Documentation,David,To Do,High,2025-05-10,2025-05-20
TASK-031,Write unit tests for API,Design,Bob,Done,Low,2025-05-14,2025-05-26
TASK-032,Review PR #45,Testing,Bob,Done,Medium,2025-05-09,2025-05-10
TASK-033,Create wireframes for new module,Testing,Charlie,To Do,Low,2025-05-11,2025-05-23
TASK-034,Fix login bug,Development,Alice,Done,Medium,2025-05-15,2025-05-26
TASK-035,Review PR #45,Design,Charlie,In Progress,Medium,2025-06-04,2025-06-12
TASK-036,Update user manual,Design,Charlie,To Do,Low,2025-06-02,2025-06-05
TASK-037,Update user manual,Documentation,Alice,To Do,Medium,2025-06-07,2025-06-20
TASK-038,Analyze user feedback,Development,Charlie,To Do,Low,2025-05-16,2025-05-17
TASK-039,Update user manual,Documentation,Alice,In Progress,High,2025-05-22,2025-06-05
TASK-040,Write unit tests for API,Documentation,Alice,In Progress,Medium,2025-05-09,2025-05-18
